LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.5
Lattice spacing in x,y,z = 1.3867225 1.3867225 1.3867225
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.09378 11.09378 11.09378)
  4 by 4 by 4 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.09378 11.09378 11.09378)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 43345
velocity all create 3 43345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.063 | 3.063 | 3.063 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0.9375         0              5.4353027      55.122803    
       500   2.7378342      5.4033416      0              9.5080876      108.55863    
      1000   2.9844773      5.8846298      0              10.35916       114.11785    
      1500   3.0442221      6.0005091      0              10.564613      115.75655    
      2000   2.966375       6.0346682      0              10.482058      115.83759    
      2500   2.9834316      5.9862563      0              10.459219      114.88802    
      3000   3.0005133      5.9936863      0              10.492259      115.50582    
      3500   3.0525799      5.9053279      0              10.481962      114.82655    
      4000   2.9905812      6.0304598      0              10.514141      115.89668    
      4500   3.0647046      5.9844004      0              10.579213      115.50373    
      5000   3.1072599      6.0381774      0              10.696791      115.82378    
      5500   3.1300744      6.0422719      0              10.735091      116.12126    
      6000   3.114506       6.0077273      0              10.677205      115.78761    
      6500   3.098655       6.0581979      0              10.703911      116.4742     
      7000   3.0766058      6.0498528      0              10.662508      116.02163    
      7500   3.066548       6.1891294      0              10.786705      117.45955    
      8000   3.1248895      5.9481249      0              10.63317       115.06372    
      8500   3.0145514      6.2029093      0              10.722528      117.68974    
      9000   3.0488108      6.0845171      0              10.6555        116.15332    
      9500   3.0738853      6.0908037      0              10.69938       116.36552    
     10000   3.0405161      6.1066455      0              10.665193      116.51957    
     10500   3.1087262      6.0686446      0              10.729457      116.09412    
     11000   3.0518242      6.1244445      0              10.699946      117.01318    
     11500   3.1264027      6.0670315      0              10.754346      116.18       
     12000   3.123918       6.126026       0              10.809615      117.10218    
     12500   3.0467425      6.0867545      0              10.654637      116.49148    
     13000   3.0466313      6.0542372      0              10.621953      115.87105    
     13500   3.0489719      6.1516478      0              10.722873      117.15302    
     14000   3.0836494      6.1459899      0              10.769205      116.86643    
     14500   3.0860813      5.9737766      0              10.600638      114.90672    
     15000   3.0259576      6.1244904      0              10.661211      117.01955    
     15500   3.1805303      6.0264911      0              10.794957      115.99198    
     16000   3.0004366      6.2395439      0              10.738001      117.6884     
     16500   3.0543275      6.0290668      0              10.608321      115.88062    
     17000   3.0589308      6.170962       0              10.757118      117.27302    
     17500   3.0672739      6.1162477      0              10.714912      116.92919    
